YEAR,TYPE,period_of_day
2008,Theft of Vehicle,2417
2008,Vehicle Collision or Pedestrian Struck (with Fatality),17
2008,Vehicle Collision or Pedestrian Struck (with Injury),1186
2009,Break and Enter Commercial,1859
2009,Break and Enter Residential/Other,3497
2009,Homicide,18
2009,Mischief,4425
2009,Offence Against a Person,3879
2009,Other Theft,9470
2009,Theft from Vehicle,10007
2009,Theft of Bicycle,1641
2009,Theft of Vehicle,1880
2009,Vehicle Collision or Pedestrian Struck (with Fatality),14
2009,Vehicle Collision or Pedestrian Struck (with Injury),1278
2010,Break and Enter Commercial,1659
2010,Break and Enter Residential/Other,3266
2010,Homicide,10
2010,Mischief,4514
2010,Offence Against a Person,3744
2010,Other Theft,9366
2010,Theft from Vehicle,8614
2010,Theft of Bicycle,1669
2010,Theft of Vehicle,1465
2010,Vehicle Collision or Pedestrian Struck (with Fatality),10
2010,Vehicle Collision or Pedestrian Struck (with Injury),1327
2011,Break and Enter Commercial,1750
2011,Break and Enter Residential/Other,3230
2011,Homicide,15
2011,Mischief,4833
2011,Offence Against a Person,3877
2011,Other Theft,9388
2011,Theft from Vehicle,7434
2011,Theft of Bicycle,1517
2011,Theft of Vehicle,1094
2011,Vehicle Collision or Pedestrian Struck (with Fatality),12
2011,Vehicle Collision or Pedestrian Struck (with Injury),1261
2012,Break and Enter Commercial,1687
2012,Break and Enter Residential/Other,3311
2012,Homicide,8
2012,Mischief,4228
2012,Offence Against a Person,3762
2012,Other Theft,9960
2012,Theft from Vehicle,8096
2012,Theft of Bicycle,1817
2012,Theft of Vehicle,1152
2012,Vehicle Collision or Pedestrian Struck (with Fatality),18
2012,Vehicle Collision or Pedestrian Struck (with Injury),1477
2013,Break and Enter Commercial,1770
2013,Break and Enter Residential/Other,3024
2013,Homicide,7
2013,Mischief,4181
2013,Offence Against a Person,3634
2013,Other Theft,10264
2013,Theft from Vehicle,8333
2013,Theft of Bicycle,2032
2013,Theft of Vehicle,1033
2013,Vehicle Collision or Pedestrian Struck (with Fatality),15
2013,Vehicle Collision or Pedestrian Struck (with Injury),1492
2014,Break and Enter Commercial,2241
2014,Break and Enter Residential/Other,3042
2014,Homicide,9
2014,Mischief,4509
2014,Offence Against a Person,3129
2014,Other Theft,10794
2014,Theft from Vehicle,10140
2014,Theft of Bicycle,2461
2014,Theft of Vehicle,1291
2014,Vehicle Collision or Pedestrian Struck (with Fatality),14
2014,Vehicle Collision or Pedestrian Struck (with Injury),1579
2015,Break and Enter Commercial,2452
2015,Break and Enter Residential/Other,3116
2015,Homicide,15
2015,Mischief,4178
2015,Offence Against a Person,3194
2015,Other Theft,10598
2015,Theft from Vehicle,10547
2015,Theft of Bicycle,3064
2015,Theft of Vehicle,1371
2015,Vehicle Collision or Pedestrian Struck (with Fatality),14
2015,Vehicle Collision or Pedestrian Struck (with Injury),1671
2016,Break and Enter Commercial,2683
2016,Break and Enter Residential/Other,2989
2016,Homicide,12
2016,Mischief,4581
2016,Offence Against a Person,3184
2016,Other Theft,11982
2016,Theft from Vehicle,12815
2016,Theft of Bicycle,2637
2016,Theft of Vehicle,1478
2016,Vehicle Collision or Pedestrian Struck (with Fatality),15
2016,Vehicle Collision or Pedestrian Struck (with Injury),1710
2017,Break and Enter Commercial,2192
2017,Break and Enter Residential/Other,2454
2017,Homicide,17
2017,Mischief,5370
2017,Offence Against a Person,3185
2017,Other Theft,11809
2017,Theft from Vehicle,12957
2017,Theft of Bicycle,2202
2017,Theft of Vehicle,1496
2017,Vehicle Collision or Pedestrian Struck (with Fatality),15
2017,Vehicle Collision or Pedestrian Struck (with Injury),1526
2018,Break and Enter Commercial,2020
2018,Break and Enter Residential/Other,2391
2018,Homicide,15
2018,Mischief,5716
2018,Offence Against a Person,3086
2018,Other Theft,11251
2018,Theft from Vehicle,14996
2018,Theft of Bicycle,2167
2018,Theft of Vehicle,1145
2018,Vehicle Collision or Pedestrian Struck (with Fatality),13
2018,Vehicle Collision or Pedestrian Struck (with Injury),1476
2019,Break and Enter Commercial,2490
2019,Break and Enter Residential/Other,2269
2019,Homicide,12
2019,Mischief,5833
2019,Offence Against a Person,3473
2019,Other Theft,12323
2019,Theft from Vehicle,17005
2019,Theft of Bicycle,2221
2019,Theft of Vehicle,1378
2019,Vehicle Collision or Pedestrian Struck (with Fatality),14
2019,Vehicle Collision or Pedestrian Struck (with Injury),1138
2020,Break and Enter Commercial,2788
2020,Break and Enter Residential/Other,2083
2020,Homicide,19
2020,Mischief,6109
2020,Offence Against a Person,3742
2020,Other Theft,8647
2020,Theft from Vehicle,10430
2020,Theft of Bicycle,1987
2020,Theft of Vehicle,853
2020,Vehicle Collision or Pedestrian Struck (with Fatality),8
2020,Vehicle Collision or Pedestrian Struck (with Injury),853
2021,Break and Enter Commercial,2079
2021,Break and Enter Residential/Other,1488
2021,Homicide,19
2021,Mischief,5415
2021,Offence Against a Person,3788
2021,Other Theft,8583
2021,Theft from Vehicle,7502
2021,Theft of Bicycle,1459
2021,Theft of Vehicle,838
2021,Vehicle Collision or Pedestrian Struck (with Fatality),22
2021,Vehicle Collision or Pedestrian Struck (with Injury),1021
2022,Break and Enter Commercial,1986
2022,Break and Enter Residential/Other,1266
2022,Homicide,11
2022,Mischief,5614
2022,Offence Against a Person,3925
2022,Other Theft,10754
2022,Theft from Vehicle,7276
2022,Theft of Bicycle,1528
2022,Theft of Vehicle,910
2022,Vehicle Collision or Pedestrian Struck (with Fatality),19
2022,Vehicle Collision or Pedestrian Struck (with Injury),1014
2023,Break and Enter Commercial,1632
2023,Break and Enter Residential/Other,1100
2023,Homicide,14
2023,Mischief,5703
2023,Offence Against a Person,3508
2023,Other Theft,11340
2023,Theft from Vehicle,6686
2023,Theft of Bicycle,967
2023,Theft of Vehicle,684
2023,Vehicle Collision or Pedestrian Struck (with Fatality),15
2023,Vehicle Collision or Pedestrian Struck (with Injury),975
